b.Product_ID,i.InQty,o.OutQty,On_Hand_Qty
4198696000020033753,1,1,0
4198696000019941515,1,1,0
4198696000020250105,1,1,0
4198696000020371262,2,2,0
4198696000020372737,2,2,0
4198696000020642574,1,1,0
4198696000020908000,8,4,4
4198696000020970251,1,1,0
4198696000021110643,2,2,0
4198696000021247879,1,1,0
4198696000021256920,1,1,0
4198696000021256929,1,1,0
4198696000021426061,2,2,0
4198696000021527375,1,1,0
4198696000021866176,2,2,0
4198696000021997519,1,1,0
4198696000022194109,2,2,0
4198696000022301066,5,5,0
4198696000022646517,2,2,0
4198696000022707012,1,1,0
4198696000023351718,1,1,0
4198696000023351893,11,8,3
4198696000023403037,3,3,0
4198696000023529356,2,2,0
4198696000023474258,1,1,0
4198696000023379905,1,1,0
4198696000023558303,2,1,1
4198696000023568874,6,6,0
4198696000023631309,1,1,0
4198696000023704483,1,1,0
4198696000023774676,1,1,0
4198696000023858005,4,4,0
4198696000024171947,2,2,0
4198696000024081690,1,1,0
4198696000024081779,2,2,0
4198696000024324452,1,1,0
4198696000024343352,3,3,0
4198696000024993516,1,1,0
4198696000024860126,1,1,0
4198696000025140084,1,1,0
